resample,ghost_custom_frac,organic_custom_frac,separation
66,1.0,0.13333333333333333,0.8666666666666667
67,1.0,0.26666666666666666,0.7333333333333334
68,1.0,0.36666666666666664,0.6333333333333333
69,1.0,0.2,0.8
70,1.0,0.36666666666666664,0.6333333333333333
71,1.0,0.36666666666666664,0.6333333333333333
72,1.0,0.16666666666666666,0.8333333333333334
73,1.0,0.26666666666666666,0.7333333333333334
74,1.0,0.16666666666666666,0.8333333333333334
75,1.0,0.3,0.7
76,1.0,0.26666666666666666,0.7333333333333334
77,1.0,0.16666666666666666,0.8333333333333334
78,1.0,0.3,0.7
79,1.0,0.4,0.6
80,1.0,0.2,0.8
81,1.0,0.26666666666666666,0.7333333333333334
82,1.0,0.23333333333333334,0.7666666666666666
83,1.0,0.23333333333333334,0.7666666666666666
84,1.0,0.36666666666666664,0.6333333333333333
85,1.0,0.2,0.8
86,1.0,0.3333333333333333,0.6666666666666667
87,1.0,0.23333333333333334,0.7666666666666666
88,1.0,0.16666666666666666,0.8333333333333334
89,1.0,0.3333333333333333,0.6666666666666667
90,1.0,0.2,0.8
91,1.0,0.3,0.7
92,1.0,0.3,0.7
93,1.0,0.16666666666666666,0.8333333333333334
94,1.0,0.23333333333333334,0.7666666666666666
95,1.0,0.3333333333333333,0.6666666666666667
96,1.0,0.26666666666666666,0.7333333333333334
97,1.0,0.16666666666666666,0.8333333333333334
98,1.0,0.3,0.7
99,1.0,0.3,0.7
100,1.0,0.23333333333333334,0.7666666666666666
101,1.0,0.5,0.5
102,1.0,0.13333333333333333,0.8666666666666667
103,1.0,0.23333333333333334,0.7666666666666666
104,1.0,0.2,0.8
105,1.0,0.23333333333333334,0.7666666666666666
106,1.0,0.3,0.7
107,1.0,0.3333333333333333,0.6666666666666667
108,1.0,0.23333333333333334,0.7666666666666666
109,1.0,0.26666666666666666,0.7333333333333334
110,1.0,0.26666666666666666,0.7333333333333334
111,1.0,0.3333333333333333,0.6666666666666667
112,1.0,0.36666666666666664,0.6333333333333333
113,1.0,0.13333333333333333,0.8666666666666667
114,1.0,0.3333333333333333,0.6666666666666667
115,1.0,0.3,0.7
116,1.0,0.26666666666666666,0.7333333333333334
117,1.0,0.23333333333333334,0.7666666666666666
118,1.0,0.3,0.7
119,1.0,0.43333333333333335,0.5666666666666667
120,1.0,0.3,0.7
121,1.0,0.3,0.7
122,1.0,0.2,0.8
123,1.0,0.36666666666666664,0.6333333333333333
124,1.0,0.4666666666666667,0.5333333333333333
125,1.0,0.3333333333333333,0.6666666666666667
126,1.0,0.16666666666666666,0.8333333333333334
127,1.0,0.3,0.7
128,1.0,0.23333333333333334,0.7666666666666666
129,1.0,0.3333333333333333,0.6666666666666667
130,1.0,0.36666666666666664,0.6333333333333333
131,1.0,0.2,0.8
132,1.0,0.3,0.7
133,1.0,0.36666666666666664,0.6333333333333333
134,1.0,0.13333333333333333,0.8666666666666667
135,1.0,0.2,0.8
136,1.0,0.2,0.8
137,1.0,0.43333333333333335,0.5666666666666667
138,1.0,0.36666666666666664,0.6333333333333333
139,1.0,0.3,0.7
140,1.0,0.4,0.6
141,1.0,0.26666666666666666,0.7333333333333334
142,1.0,0.4,0.6
143,1.0,0.26666666666666666,0.7333333333333334
144,1.0,0.4666666666666667,0.5333333333333333
145,1.0,0.16666666666666666,0.8333333333333334
146,1.0,0.4,0.6
147,1.0,0.26666666666666666,0.7333333333333334
148,1.0,0.23333333333333334,0.7666666666666666
149,1.0,0.23333333333333334,0.7666666666666666
150,1.0,0.2,0.8
151,1.0,0.16666666666666666,0.8333333333333334
152,1.0,0.23333333333333334,0.7666666666666666
153,1.0,0.16666666666666666,0.8333333333333334
154,1.0,0.23333333333333334,0.7666666666666666
155,1.0,0.3333333333333333,0.6666666666666667
156,1.0,0.26666666666666666,0.7333333333333334
157,1.0,0.26666666666666666,0.7333333333333334
158,1.0,0.1,0.9
159,1.0,0.16666666666666666,0.8333333333333334
160,1.0,0.26666666666666666,0.7333333333333334
161,1.0,0.13333333333333333,0.8666666666666667
162,1.0,0.23333333333333334,0.7666666666666666
163,1.0,0.26666666666666666,0.7333333333333334
164,1.0,0.2,0.8
165,1.0,0.26666666666666666,0.7333333333333334
166,1.0,0.26666666666666666,0.7333333333333334
167,1.0,0.26666666666666666,0.7333333333333334
168,1.0,0.3,0.7
169,1.0,0.3333333333333333,0.6666666666666667
170,1.0,0.3,0.7
171,1.0,0.23333333333333334,0.7666666666666666
172,1.0,0.2,0.8
173,1.0,0.23333333333333334,0.7666666666666666
174,1.0,0.3,0.7
175,1.0,0.36666666666666664,0.6333333333333333
176,1.0,0.3,0.7
